"","X","code","date","cumulative_cases","cumulative_deaths","daily_cases","daily_deaths","state_name","pop_density","pop_count","region_census_sub_revised","region_code"
"70",70,"AK","2020-04-10",NA,NA,11,0,"Alaska",1,738432,"Pacific",6
"71",71,"AK","2020-04-11",NA,NA,11,1,"Alaska",1,738432,"Pacific",6
"72",72,"AK","2020-04-12",NA,NA,15,0,"Alaska",1,738432,"Pacific",6
"73",73,"AK","2020-04-13",NA,NA,5,0,"Alaska",1,738432,"Pacific",6
"74",74,"AK","2020-04-14",NA,NA,8,1,"Alaska",1,738432,"Pacific",6
"75",75,"AK","2020-04-15",NA,NA,8,0,"Alaska",1,738432,"Pacific",6
"76",76,"AK","2020-04-16",NA,NA,7,0,"Alaska",1,738432,"Pacific",6
"77",77,"AK","2020-04-17",NA,NA,9,0,"Alaska",1,738432,"Pacific",6
"78",78,"AK","2020-04-18",NA,NA,5,0,"Alaska",1,738432,"Pacific",6
"79",79,"AK","2020-04-19",NA,NA,5,0,"Alaska",1,738432,"Pacific",6
"80",80,"AK","2020-04-20",NA,NA,2,0,"Alaska",1,738432,"Pacific",6
"81",81,"AK","2020-04-21",NA,NA,8,0,"Alaska",1,738432,"Pacific",6
"82",82,"AK","2020-04-22",NA,NA,6,0,"Alaska",1,738432,"Pacific",6
"83",83,"AK","2020-04-23",NA,NA,2,0,"Alaska",1,738432,"Pacific",6
"84",84,"AK","2020-04-24",NA,NA,2,0,"Alaska",1,738432,"Pacific",6
"85",85,"AK","2020-04-25",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"86",86,"AK","2020-04-26",NA,NA,2,0,"Alaska",1,738432,"Pacific",6
"87",87,"AK","2020-04-27",NA,NA,4,0,"Alaska",1,738432,"Pacific",6
"88",88,"AK","2020-04-28",NA,NA,6,0,"Alaska",1,738432,"Pacific",6
"89",89,"AK","2020-04-29",NA,NA,4,0,"Alaska",1,738432,"Pacific",6
"90",90,"AK","2020-04-30",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
"91",91,"AK","2020-05-01",NA,NA,9,0,"Alaska",1,738432,"Pacific",6
"92",92,"AK","2020-05-02",NA,NA,1,0,"Alaska",1,738432,"Pacific",6
"93",93,"AK","2020-05-03",NA,NA,3,0,"Alaska",1,738432,"Pacific",6
"94",94,"AK","2020-05-04",NA,NA,2,0,"Alaska",1,738432,"Pacific",6
"95",95,"AK","2020-05-05",NA,NA,1,0,"Alaska",1,738432,"Pacific",6
"96",96,"AK","2020-05-06",NA,NA,1,1,"Alaska",1,738432,"Pacific",6
"97",97,"AK","2020-05-07",NA,NA,2,0,"Alaska",1,738432,"Pacific",6
"98",98,"AK","2020-05-08",NA,NA,3,0,"Alaska",1,738432,"Pacific",6
"99",99,"AK","2020-05-09",NA,NA,1,0,"Alaska",1,738432,"Pacific",6
"100",100,"AK","2020-05-10",NA,NA,1,0,"Alaska",1,738432,"Pacific",6
"101",101,"AK","2020-05-11",NA,NA,2,0,"Alaska",1,738432,"Pacific",6
"102",102,"AK","2020-05-12",NA,NA,2,0,"Alaska",1,738432,"Pacific",6
"103",103,"AK","2020-05-13",NA,NA,0,0,"Alaska",1,738432,"Pacific",6
